Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured
1587720,31-Dec-19,West Virginia,Buckhannon,Three Lick Rd,0,0
1591127,31-Dec-19,Alaska,Kodiak,Spruce Cape Rd,0,0
1588533,31-Dec-19,Maryland,Waldorf,4000 block of Night Heron Ct,0,0
1586130,31-Dec-19,Texas,San Antonio,1300 block of Gibbs St,0,2
1588054,31-Dec-19,Texas,Baytown,600 block of 7th St,0,0
1584493,31-Dec-19,Texas,Gary (Gary City),FM 10 and FM 2260,1,0
1588727,30-Dec-19,Texas,Frankston,22100 TX-155,0,0
1586976,30-Dec-19,Kentucky,Louisville,Elliott Ave and S 24th St Louisville,0,0
1584748,30-Dec-19,Alabama,Birmingham,400 Graymont Ave W,0,2
1592035,30-Dec-19,New Jersey,Bridgeton,Horton St and Bank St,0,0
1585182,30-Dec-19,Arkansas,Little Rock,Knollwood Dr,0,0
1587234,30-Dec-19,Alabama,Huntsville,Oakdale Ct NW,0,0
1584124,30-Dec-19,Louisiana,Baton Rouge,16000 block of Morel Ave,1,1
1583071,29-Dec-19,South Dakota,Rapid City,851 E Minnesota St,2,0
1583902,28-Dec-19,Alabama,Mc Calla,Sycamore Rd,0,1
1583041,28-Dec-19,Maryland,Hampstead,1800 block of Fairmount Rd,0,0
1586356,28-Dec-19,Connecticut,West Haven,7 Kimberly Avenue,0,0
1584118,28-Dec-19,Virginia,Warrenton,7700 Rogues Rd,0,0
1584401,27-Dec-19,Maryland,Flintstone,Town Creek Rd,0,1
1584175,27-Dec-19,Oregon,Florence,52nd St,0,1
1588074,27-Dec-19,Texas,Huntsville,322 Sumac Rd,0,0
1580463,26-Dec-19,Louisiana,Doyline,Camp Zion Rd,0,0
1580245,25-Dec-19,Pennsylvania,Philadelphia,1513 W Lehigh Ave,0,2
1580475,25-Dec-19,Texas,Fort Worth,6600 South Fwy,0,1
1581380,25-Dec-19,Illinois,Venice,1000 block of Market St,0,0
1580487,25-Dec-19,Texas,Lubbock,5108 I-27,0,0
1579838,24-Dec-19,Ohio,Dayton,2800 block of E 1st St,0,0
