Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1338171,1-Mar-19,California,Salinas,1000 block of E Laurel Dr,1,0,N/A
1338387,1-Mar-19,Tennessee,Hendersonville,100 block of Volunteer Dr,0,0,N/A
1338077,1-Mar-19,Kentucky,Paducah,Mayfield Rd and S 21st St,0,0,N/A
1338240,1-Mar-19,Kentucky,Louisville,4300 block of Stoltz Ct,1,0,N/A
1337849,1-Mar-19,Tennessee,Nashville,111 Oldham St,1,0,N/A
1338534,1-Mar-19,Ohio,Mansfield,1293 Hickory Lane,0,1,N/A
1338050,1-Mar-19,Pennsylvania,Braddock,Hawkins Village,0,0,N/A
1338253,1-Mar-19,Massachusetts,Holyoke,291 Elm St,0,0,N/A
1339730,1-Mar-19,Pennsylvania,Allentown,700 block of Birch St,0,1,N/A
1338019,1-Mar-19,Pennsylvania,Monessen,Summit Ave,0,0,N/A
1338494,1-Mar-19,Maryland,Odenton,400 block of Holiday St,0,0,N/A
1342987,1-Mar-19,Georgia,Atlanta,6000 N Terminal Pkwy,0,0,N/A
1338399,1-Mar-19,Maryland,Owings Mills,10000 block of Dolfield Rd,0,0,N/A
1340484,1-Mar-19,Arkansas,Hot Springs National Park (Hot Springs),3630 Central Ave,0,0,N/A
1339612,1-Mar-19,Ohio,Youngstown,W Boston Ave and Idlewood Ave,0,0,N/A
1339588,1-Mar-19,Ohio,Toledo,30 block of W Central Ave,0,0,N/A
1338579,1-Mar-19,Michigan,Saginaw,2725 Weiss St,1,0,N/A
1343239,1-Mar-19,Iowa,Cedar Rapids,300 block of 15th St SE,0,0,N/A
1338999,1-Mar-19,Missouri,Harrisburg,12000 block of Bethlehem Rd,0,0,N/A
1353113,1-Mar-19,Oklahoma,Oklahoma City,901 SE 67th St,0,1,N/A
1338221,1-Mar-19,Nevada,Reno,1855 Selmi Dr,0,1,N/A
1338632,1-Mar-19,Arkansas,Alma,1400 block of Sunnyside Rd,1,0,N/A
1338463,1-Mar-19,Ohio,Canton,1222 Whipple Ave NW,0,1,N/A
1376597,1-Mar-19,Illinois,Chicago,S Indiana Ave & E 49th St,0,0,N/A
1338700,1-Mar-19,Minnesota,Wyoming,I-35,0,0,N/A
1361952,1-Mar-19,Delaware,Milton,28000 block of Carpenter Rd,0,0,N/A
1338213,1-Mar-19,Maryland,Annapolis,1411 Cedar Park Rd,0,0,N/A
1340746,1-Mar-19,Massachusetts,Fitchburg,20 Wilson St,0,0,N/A
1338695,1-Mar-19,Ohio,Dayton,1200 block of Huffman Ave,0,1,N/A
1337932,28-Feb-19,West Virginia,Grafton,Knottsville Rd,0,0,N/A
1337125,28-Feb-19,Tennessee,Clarksville,800 block of Biglen Rd,0,0,N/A
1338618,28-Feb-19,Georgia,Albany,2600 Partidge Dr,0,0,N/A
1338084,28-Feb-19,Nebraska,Omaha,Veterans Dr and N 204th St,0,0,N/A
1338245,28-Feb-19,Massachusetts,Fitchburg,Main St and Prichard St,0,0,N/A
1337961,28-Feb-19,Michigan,Pontiac,900 Block of Dewey St,0,0,N/A
1337951,28-Feb-19,Michigan,Battle Creek,900 block of W Goguac St,0,0,N/A
1342948,28-Feb-19,Georgia,Macon,Mumford Rd,0,0,N/A
1337084,28-Feb-19,Indiana,Marion,903 Park Dr,0,1,N/A
1337644,28-Feb-19,Maryland,Baltimore,N/A,0,0,N/A
