Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1494837,1-Sep-19,Idaho,Caldwell,15000 block of Yoder Ave,1,0,N/A
1495013,1-Sep-19,Texas,Austin,201 E 6th St,0,0,N/A
1496336,1-Sep-19,Texas,Dilley,I-35,0,0,N/A
1496300,1-Sep-19,California,Visalia,Mooney Blvd and Visalia Pkwy,0,0,N/A
1496232,1-Sep-19,California,Pacifica,N/A,0,0,N/A
1493790,1-Sep-19,Missouri,Independence,19400 E 37th Terrace Ct S,0,1,N/A
1494895,1-Sep-19,Colorado,Aurora,N/A,0,0,N/A
1496956,1-Sep-19,West Virginia,Martinsburg,700 block of W King St,0,1,N/A
1498440,1-Sep-19,Massachusetts,Quincy,Rose Ave,0,0,N/A
1498435,1-Sep-19,West Virginia,Webster Springs,N/A,0,0,N/A
1495864,1-Sep-19,Nebraska,Lincoln,1845 S 9th St,0,0,N/A
1499129,1-Sep-19,Michigan,Warren,4105 E 8 Mile Rd,1,0,N/A
1495569,1-Sep-19,Pennsylvania,Allentown,200 block of N 3rd St,0,0,N/A
1500155,1-Sep-19,South Carolina,Saint Matthews,Harry C Raysor Dr,0,0,N/A
1495419,1-Sep-19,Ohio,Springfield,100 block W Mulberry St,0,0,N/A
1518386,1-Sep-19,Illinois,Rantoul,1400 block of Kenneth Dr,0,0,N/A
1494322,1-Sep-19,Tennessee,Nashville,5135 Harding Pl,0,0,N/A
1494290,1-Sep-19,Michigan,Livonia,31600 block of Plymouth Rd,0,0,N/A
1498734,1-Sep-19,Michigan,Trenton (Woodhaven),18000 block of Blakely Dr,0,0,N/A
1494165,31-Aug-19,Colorado,Denver,1500 block of Central St,1,0,N/A
1494146,31-Aug-19,New York,Buffalo,E Utica St,0,0,N/A
1493219,31-Aug-19,Utah,Salt Lake City (Taylorsville),4644 S Hemlock Dr,0,1,N/A
1493490,31-Aug-19,Massachusetts,Dartmouth,15 State Rd,0,0,N/A
1496200,31-Aug-19,Nebraska,Lincoln,8231 O St,0,0,N/A
1492227,31-Aug-19,Florida,Pensacola,813 W Gadsden St,1,0,N/A
1496721,31-Aug-19,Pennsylvania,Waynesburg,Rolling Meadows Rd,0,0,N/A
1492881,31-Aug-19,Illinois,Peoria,1100 block of W Main St,0,0,N/A
1493788,31-Aug-19,North Carolina,Raleigh,Caddy Rd,1,0,N/A
1494320,31-Aug-19,Tennessee,Nashville,1400 Kellow St,1,0,N/A
1548148,31-Aug-19,Nevada,Las Vegas,E Bonanza Rd and N Sloan Ln,0,0,N/A
1492390,31-Aug-19,Illinois,Naperville,2800 block of Bluewater Cir,0,0,N/A
1498370,31-Aug-19,Nebraska,Farnam,N/A,0,1,N/A
1494526,31-Aug-19,Kentucky,Owensboro,N/A,0,0,N/A
1494566,31-Aug-19,Georgia,Lagrange,Addie St and McGhee St,0,1,N/A
1503642,31-Aug-19,Ohio,Brookpark (Brook Park),14915 Hummel Rd,0,0,N/A
1493402,31-Aug-19,District of Columbia,Washington,1200 block of Canal St SW,0,1,N/A
1492891,31-Aug-19,New York,Bronx,2430 E Tremont Ave,0,1,N/A
1492297,31-Aug-19,Maryland,Frederick,600 block of N Market St,0,4,N/A
