Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1385393,1-May-19,Massachusetts,Boston,1186 Blue Hill Ave,0,0,N/A
1384655,1-May-19,Michigan,Detroit,Southfield Fwy and W 8 Mile Rd,0,1,N/A
1386673,1-May-19,Mississippi,Woodville,Stop and Go St E and Natchez St N,1,1,N/A
1386099,1-May-19,Illinois,Lisle,700 block of Maple Ave,0,0,N/A
1386094,1-May-19,Massachusetts,Holyoke,140 Essex St,0,0,N/A
1385775,1-May-19,Nebraska,Lincoln,3300 block of Portia St,0,1,N/A
1389660,1-May-19,Washington,Tacoma,7000 block of S Park Ave,0,0,N/A
1384425,1-May-19,Michigan,Detroit,500 block of Kitchner St,1,1,N/A
1384571,1-May-19,Ohio,Hillsboro,11541 N Shore Dr,0,1,N/A
1385888,1-May-19,New Jersey,East Brunswick,Tower Center Blvd,0,0,N/A
1466689,1-May-19,Florida,Saint Johns (Fruit Cove),Harmony Dr S and Fruit Cove Rd,0,0,N/A
1385876,1-May-19,North Carolina,Greenville,Barrus Construction Rd,0,0,N/A
1389381,1-May-19,South Carolina,Orangeburg,Magnolia St,0,0,N/A
1384984,1-May-19,Kansas,Topeka,5400 block of SW 15th St,0,0,N/A
1385081,1-May-19,Kentucky,Hopkinsville,N Elm St,0,0,N/A
1385064,1-May-19,Florida,Macclenny,9218 S FL-228,0,0,N/A
1385025,1-May-19,Florida,Saint Petersburg (Gulfport),924 58th St S,0,0,N/A
1385020,1-May-19,Florida,West Palm Beach,1500 block of 43rd St,0,0,N/A
1384395,1-May-19,South Carolina,Moncks Corner,3414 US 52,1,0,N/A
1410216,1-May-19,Tennessee,Clarksville,505 Providence Blvd,0,0,N/A
1384305,1-May-19,Pennsylvania,Tyrone,Meade St,0,0,N/A
1384561,1-May-19,Massachusetts,Somerville,1 College Ave,0,0,N/A
1384862,1-May-19,Delaware,Dover,50 block of S New St,0,0,N/A
1437080,1-May-19,District of Columbia,Washington,4000 block of Hayes St NE,0,1,N/A
1384845,1-May-19,District of Columbia,Washington,3300 block of D St SE,1,1,N/A
1388926,1-May-19,New York,Staten Island,Park Ave,0,0,N/A
1384822,1-May-19,Ohio,Sidney,Queen St,0,0,N/A
1384819,1-May-19,New Jersey,Trenton,1900 block of Chestnut Ave,0,0,N/A
1384362,30-Apr-19,Kentucky,Bowling Green,416 Church Ave,0,0,N/A
1384724,30-Apr-19,Massachusetts,Boston,28 Constitution Rd,0,0,N/A
1383435,30-Apr-19,Pennsylvania,Pittsburgh,660 1st Ave,0,0,N/A
1392126,30-Apr-19,Ohio,Cleveland,Pearl Rd,0,0,N/A
1384588,30-Apr-19,Tennessee,Jackson,100 Parkwood Trace,0,1,N/A
1383766,30-Apr-19,Tennessee,Nashville,455 Rural Hill Rd,0,0,N/A
1384545,30-Apr-19,Illinois,Mount Vernon,S 19th St and Casey Ave,0,0,N/A
1383752,30-Apr-19,North Carolina,Charlotte,9214 South Library Ln,2,4,N/A
1385131,30-Apr-19,Pennsylvania,Wilkes Barre,882 Scott St,0,0,N/A
1385119,30-Apr-19,Florida,Tallahassee,Holton St and Okaloosa St,0,0,N/A
1385405,30-Apr-19,Massachusetts,Revere,MA 16 and Broadway,0,0,N/A
1384979,30-Apr-19,Ohio,Springfield,1400 block of Mound St,0,0,N/A
1384299,30-Apr-19,Pennsylvania,Altoona,1111 5th Ave,0,0,N/A
1384390,30-Apr-19,Ohio,Cincinnati,6800 block of Founders Row,0,0,N/A
1383339,30-Apr-19,Maryland,Baltimore,3200 block of Greenmount Ave,0,0,N/A
1384860,30-Apr-19,Delaware,Seaford,9817 Spotless St,0,0,N/A
1384192,30-Apr-19,Illinois,Aurora,1361 Pearl St,0,0,N/A
1384142,30-Apr-19,New Jersey,Somerset,Village Dr,0,0,N/A
1384099,30-Apr-19,Massachusetts,Boston,317 Geneva Ave,0,0,N/A
1384730,30-Apr-19,Massachusetts,Boston,Dawson St and Stockton St,0,0,N/A
1388808,29-Apr-19,California,Oakland,San Pablo Ave and Alcatraz Ave,0,0,N/A
1384093,29-Apr-19,Connecticut,Waterbury,96 Edin Ave,1,0,N/A
1387337,29-Apr-19,New York,Niagara Falls,Lockport Rd,0,0,N/A
1383928,29-Apr-19,Colorado,Pueblo,800 block of E 1st St,0,0,N/A
1385310,29-Apr-19,Louisiana,New Orleans,1200 block of Michael St,0,0,N/A
1388251,29-Apr-19,Delaware,Wilmington,1300 block of Pennsylvania Ave,0,0,N/A
1383553,29-Apr-19,Kentucky,Mayfield,KY 121,0,0,N/A
1388037,29-Apr-19,District of Columbia,Washington,1000 block of 18th St NE,0,0,N/A
1383476,29-Apr-19,Ohio,Canton,15th St NE and Cherry Ave NE,0,1,N/A
1386314,29-Apr-19,Georgia,Athens,Coleridge Ct,0,0,N/A
1383388,29-Apr-19,Illinois,Rockford,3400 block of Constance Dr,0,0,N/A
1383373,29-Apr-19,New Jersey,Trenton,Chase St,0,0,N/A
1383365,29-Apr-19,New Jersey,Trenton,Sherman Ave,0,0,N/A
1383136,29-Apr-19,Oklahoma,Tulsa,100 block of N Florence Pl,0,1,N/A
1383344,29-Apr-19,Maryland,Baltimore,3600 block of Elm St,0,0,N/A
1384882,29-Apr-19,Maryland,Hagerstown,Park Pl,0,0,N/A
1385652,29-Apr-19,Maryland,Baltimore,1900 block of W Pratt St,0,0,N/A
1384175,29-Apr-19,Maryland,Baltimore,1700 block of W Baltimore St,0,0,N/A
1383074,29-Apr-19,Mississippi,Bay Saint Louis,6022 East Neshoba St,1,0,N/A
1384123,29-Apr-19,Massachusetts,Fall River,Brightman St,0,0,N/A
1384085,29-Apr-19,Rhode Island,Providence,Longmont St and Salina St,0,0,N/A
1409156,29-Apr-19,Florida,Ormond Beach,Knollwood Estates Dr,0,0,N/A
1383073,29-Apr-19,New Hampshire,Grafton,US 4 and Lower Meadow Rd,0,1,N/A
1544962,29-Apr-19,Texas,Odessa,N/A,0,0,N/A
1383994,28-Apr-19,Missouri,Cape Girardeau,631 S Sprigg St,0,0,N/A
1383977,28-Apr-19,Texas,Abilene,500 block of E N 18th St,0,1,N/A
1383094,28-Apr-19,California,Stockton,4700 block of Grouse Run Dr,0,0,N/A
1381835,28-Apr-19,New York,Niagara Falls,1504 Pine Ave,0,2,N/A
1383918,28-Apr-19,Colorado,Boulder,700 block of 9th St,0,0,N/A
1497817,28-Apr-19,Tennessee,Knoxville,Joyce Ave,0,0,N/A
1382746,28-Apr-19,Kentucky,Oak Grove,110 Meridians Way,0,2,N/A
1381873,28-Apr-19,Indiana,Zionsville,Quail Run Dr,1,0,N/A
1381939,28-Apr-19,Georgia,Atlanta,1900 block of Moreland Ave,0,1,N/A
1574838,28-Apr-19,New Mexico,Tucumcari,400 block of Aber St,0,0,N/A
1382530,28-Apr-19,Florida,Brooksville,Co Rd 476,0,0,N/A
1384137,28-Apr-19,New Hampshire,Plaistow,119 Paistow Rd,0,0,N/A
1384128,28-Apr-19,Massachusetts,Malden,Main St,0,0,N/A
1382240,27-Apr-19,Utah,Hurricane,3700 W 165 N,0,1,N/A
1382423,27-Apr-19,Michigan,Pontiac,339 Raeburn St,1,1,N/A
1382317,27-Apr-19,Texas,Austin,10900 Lakeline Mall Dr,0,1,N/A
1381564,27-Apr-19,New York,Buffalo,1149 E Ferry St,0,0,N/A
1382949,27-Apr-19,Kentucky,Louisville,1500 block of Sharon Dr,0,1,N/A
1382821,27-Apr-19,West Virginia,Summersville,44 Twin Oaks Dr,2,1,N/A
1382395,27-Apr-19,West Virginia,Huntington,W 3rd St and Adams Ave,1,0,N/A
1382848,27-Apr-19,Kentucky,Hopkinsville,1300 block of Coleman St,0,0,N/A
1382079,27-Apr-19,Massachusetts,Boston,34 Bromfield St,0,0,N/A
1385905,27-Apr-19,New Jersey,Belmar,1201 River Rd,0,0,N/A
1381878,27-Apr-19,Florida,West Palm Beach,2100 N Australian Ave,2,1,N/A
1382378,27-Apr-19,Virginia,Suffolk,Portsmouth Blvd and Suburban Dr,0,3,N/A
1384462,27-Apr-19,Iowa,Davenport,1600 block of W 10th St,0,0,N/A
1381307,27-Apr-19,Georgia,Decatur,1900 Glenfair Rd,0,1,N/A
1381903,27-Apr-19,Florida,Tallahassee,Castlewood Dr and S Meridian St,0,0,N/A
1521257,27-Apr-19,Utah,South Jordan,N/A,0,0,N/A
1383510,27-Apr-19,Illinois,Quincy,600 block of Meadowlark Dr,0,0,N/A
1385729,27-Apr-19,Colorado,Grand Junction,500 block of 29 Rd,0,0,N/A
1383472,27-Apr-19,South Carolina,Seabrook,Stuart Point Rd,0,0,N/A
1385626,27-Apr-19,Indiana,Peru,200 block of E Riverside Dr,0,0,N/A
1596683,27-Apr-19,New Jersey,Vineland,Shadow Ln,0,0,N/A
1381593,27-Apr-19,Michigan,Jackson,800 block of Homewild St,0,4,N/A
1381650,27-Apr-19,Massachusetts,Boston,460 Quincy St,0,0,N/A
1382440,27-Apr-19,Pennsylvania,Erie,2600 block of Peach St,0,0,N/A
1380734,26-Apr-19,District of Columbia,Washington,1300 block of 1st St NW,0,1,N/A
1381574,26-Apr-19,Oklahoma,Tulsa,1723 S Memorial Dr,0,0,N/A
1380783,26-Apr-19,Kentucky,Louisville,3200 block of Larkwood Ave,0,2,N/A
1380953,26-Apr-19,Texas,Kingwood,6407 Longflower Ln,2,0,N/A
1380962,26-Apr-19,New Mexico,Ranchos De Taos,SR 68,0,0,N/A
1381096,26-Apr-19,Wisconsin,Fond Du Lac,200 block of Morris St,0,0,N/A
1381825,26-Apr-19,Maryland,Baltimore,700 block of E Preston St,0,0,N/A
1383624,26-Apr-19,North Carolina,Dudley,Rollingwood Dr,0,0,N/A
1383486,26-Apr-19,South Carolina,Orangeburg,Sprinkle Ave,0,0,N/A
1383463,26-Apr-19,South Carolina,Saint Helena Island,Bay Point Rd,0,0,N/A
1382728,26-Apr-19,New Jersey,Paterson,115 Highland St,0,0,N/A
1385631,26-Apr-19,Delaware,Wilmington,500 block of Willing St,0,0,N/A
1380612,26-Apr-19,Illinois,Chicago,50 block of Ida B Wells Dr,1,0,N/A
1381127,26-Apr-19,California,Fremont,43643 Mission Blvd,0,0,N/A
1381079,26-Apr-19,Kansas,Wichita,2300 block of S Market St,0,2,N/A
1381701,26-Apr-19,Massachusetts,Lawrence,183 Parker St,0,0,N/A
1381163,26-Apr-19,Massachusetts,Holyoke,859 Main St,0,0,N/A
1380417,25-Apr-19,Louisiana,Eunice,Townhome Dr,0,0,N/A
1379989,25-Apr-19,Nevada,Las Vegas,3200 block of Silver Saddle St,2,1,N/A
1381118,25-Apr-19,Connecticut,Stamford,1221 High Ridge Rd,0,0,N/A
1381148,25-Apr-19,Connecticut,Hartford,2035 Main St,0,0,N/A
1381448,25-Apr-19,Maryland,Hagerstown,607 Guilford Ave,0,0,N/A
1381443,25-Apr-19,Maryland,Hagerstown,54 E Franklin St,0,0,N/A
1380617,25-Apr-19,Indiana,Anderson,4610 Madison Ave,0,0,N/A
1420270,25-Apr-19,Florida,Miami,NW 57th Ave and Third St,0,0,N/A
1380481,25-Apr-19,Texas,Texas City,1200 N Amburn Rd,0,3,N/A
1396743,25-Apr-19,Indiana,Gary,N/A,0,0,N/A
