Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured
1438034,1-Jul-19,New Hampshire,Newport,105 Springfield Rd,0,0
1436291,1-Jul-19,Colorado,Denver,1000 block of Lincoln St,1,0
1436811,1-Jul-19,Ohio,Cleveland,3800 block of E 186th St,0,1
1437784,1-Jul-19,District of Columbia,Washington,800 block of Chesapeake St SE,0,0
1438701,1-Jul-19,Minnesota,Waite Park,3rd St NE and Waite Ave NE,0,0
1437757,1-Jul-19,Florida,Pembroke Pines,SW 146th Terrace and Ninth St,0,0
1437631,1-Jul-19,California,Ventura,2200 block of Thompson Blvd,0,0
1437547,1-Jul-19,California,Bakersfield,3220 Stine Rd,0,0
1436652,1-Jul-19,Maine,Georgetown,Bay Point Rd,1,0
1438492,1-Jul-19,Illinois,Dekalb,Roosevelt Ct and 7th St,0,0
1438487,1-Jul-19,Massachusetts,Fall River,400 block of Buffinton St,0,0
1436401,1-Jul-19,Virginia,Arlington,1000 S Hayes Ave,1,0
1437990,1-Jul-19,Georgia,Macon,3705 Irwinton Rd,1,0
1438392,1-Jul-19,Indiana,Bloomington,2851 N Old State Rd 37,1,0
1440616,1-Jul-19,Illinois,Chicago,1200 block of W Lunt Ave,0,0
1437137,1-Jul-19,Pennsylvania,Blairsville,1085 Rte 22 Hwy W,0,1
1438705,1-Jul-19,New Jersey,Manchester Township (Manchester),Cambridge Cir,1,0
1439343,1-Jul-19,South Carolina,Heath Springs,4699 Kickturn Rd,0,0
1443080,1-Jul-19,Florida,West Palm Beach,205 N Dixie Hwy,0,0
1441312,1-Jul-19,Illinois,Kankakee,N Park Ave and E Birch St,0,0
1443039,1-Jul-19,Delaware,Wilmington,600 block of W 5th St,0,0
1437022,1-Jul-19,Louisiana,Monroe,814 Barnes Rd,0,0
1440956,1-Jul-19,Massachusetts,Attleboro,740 S Main St,0,0
1436099,30-Jun-19,Michigan,Traverse City,263 W Grandview Pkwy,2,0
1436825,30-Jun-19,Texas,Holland (Sparks),El Rancho Dr and N McCarran Blvd,0,0
1436803,30-Jun-19,New York,Brooklyn,1243 Surf Ave,0,0
1436785,30-Jun-19,Nebraska,Beatrice,1800 Scott St,0,0
1436736,30-Jun-19,New York,Albany,1st St,0,0
1435894,30-Jun-19,Kentucky,Stanton,118 W College Ave,0,1
1436666,30-Jun-19,Vermont,Putney,Kimball Hill Rd and Main St,0,0
1435910,30-Jun-19,North Carolina,Winston Salem (Winston-salem),321 E Polo Rd,0,0
1439484,30-Jun-19,Massachusetts,Chicopee,786 Memorial Dr,0,0
1436621,30-Jun-19,West Virginia,Glen Jean,US 19,0,0
1439903,30-Jun-19,Iowa,Muscatine,1600 block of Isett Ave,0,0
1436545,30-Jun-19,California,Yucaipa,12700 block of California St,0,5
1435738,30-Jun-19,Illinois,East Saint Louis,8301 State St,1,0
1437471,30-Jun-19,West Virginia,Mill Creek,Adolph Rd,0,1
1489133,30-Jun-19,Pennsylvania,Erie,700 block of Tacoma Rd,0,0
1443129,30-Jun-19,Florida,Miramar Beach,Scenic Gulf Dr,0,0
1437247,30-Jun-19,New Mexico,Albuquerque,2nd St NW and Candelaria Rd NW,1,0
1439984,30-Jun-19,South Carolina,Berkeley (county),N/A,0,1
1438143,30-Jun-19,Florida,Fruitland Park,Micro Racetrack Rd,0,0
1437105,30-Jun-19,Maryland,Baltimore,1000 block of Leadenhall St,0,0
1438868,30-Jun-19,Wyoming,Casper,N/A,0,0
1441153,30-Jun-19,Alabama,Dothan,512 N Foster St,0,0
1436564,29-Jun-19,Virginia,Danville,3215 Riverside Dr,0,1
1437825,29-Jun-19,Wisconsin,Eau Claire,3rd St,0,0
1437748,29-Jun-19,Florida,Miami,N/A,0,0
