Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured
1562824,1-Dec-19,Kentucky,Hopkinsville,300 block of W Edmunds St,0,0
1562685,1-Dec-19,Michigan,Kalamazoo,6300 block of Proctor St,1,3
1562634,1-Dec-19,District of Columbia,Washington,4000 block of Massachusetts Ave NW,0,0
1564596,1-Dec-19,Maryland,Hagerstown,137 High St,0,1
1563087,1-Dec-19,Delaware,Wilmington,300 block of Barrett St,0,0
1561977,1-Dec-19,Minnesota,Minneapolis,2738 Oakland Ave S,4,0
1562406,1-Dec-19,New Jersey,Secaucus,98 Harmon Cove Tower,1,0
1561734,1-Dec-19,Louisiana,New Orleans,700 block of Canal St,0,12
1562990,1-Dec-19,Tennessee,Shelbyville,Cartwright Rd,1,0
1561232,30-Nov-19,Texas,Dallas,3503 E Illinois Ave,0,1
1562135,30-Nov-19,Tennessee,Cordova,1636 N Germantown Pkwy,0,1
1565032,30-Nov-19,Georgia,Lakeland,River Rd,1,0
1561212,30-Nov-19,Texas,Abilene,1400 block of Lawyer’s Ln,1,0
1564682,30-Nov-19,Illinois,Decatur,224 W William St,0,0
1564125,30-Nov-19,Texas,Victoria,1000 block of Havana St,0,0
1561316,30-Nov-19,Michigan,Battle Creek,310 Cherry St,0,1
1562739,30-Nov-19,Tennessee,Knoxville,1411 TN-158,0,0
1563019,30-Nov-19,Colorado,Dillon,0475 Straight Creek Dr,0,1
1567692,30-Nov-19,Massachusetts,Holliston,1905 Washington Street,0,0
1562317,30-Nov-19,Massachusetts,Boston,Summer St,0,0
1564714,30-Nov-19,Arizona,Safford,1215 W Thatcher Blvd,0,0
1561721,30-Nov-19,Arizona,Mesa,S Horne and E Broadway Rd,1,0
1561992,30-Nov-19,Colorado,Loveland,CO-402,1,0
1563015,30-Nov-19,Texas,San Angelo,6600 block of Goodland Loop,0,0
1573654,30-Nov-19,Florida,Greenacres,N/A,0,0
1571547,30-Nov-19,Ohio,Cleveland,13030 Brookpark Rd,0,0
1562302,30-Nov-19,California,Chula Vista,372 Broadway,0,0
1561450,30-Nov-19,Pennsylvania,Philadelphia,N 22nd St and W Sedgley Ave,1,0
1562888,29-Nov-19,Texas,Lubbock,66th St and University Ave,0,0
1560436,29-Nov-19,Oklahoma,Oklahoma City,1818 S Meridian Ave,1,1
1560796,29-Nov-19,Texas,Houston,11414 Richmond Ave,0,1
1561428,29-Nov-19,Tennessee,Memphis,3700 block of Station Way,1,0
1560918,29-Nov-19,Louisiana,New Orleans,4133 S Carrollton Ave,0,1
1560756,29-Nov-19,Texas,Arlington,600 W Arbrook Blvd,0,0
1560509,29-Nov-19,Florida,Daytona Beach,1055 3rd St,2,0
1562729,29-Nov-19,Tennessee,Franklin,3063 Mallory Ln,0,0
1563946,29-Nov-19,Florida,The Villages,El Camino Real and Buena Vista Blvd,0,0
1560493,29-Nov-19,Florida,Lakeland,1505 Saddlehorn Dr,1,0
1563296,29-Nov-19,Illinois,Belvidere,2510 Jane Addams Memorial Tollway,0,0
1563825,29-Nov-19,Florida,Stuart,1200 block of SE US 1,0,0
1560957,29-Nov-19,Indiana,Indianapolis,1280 W Southport Rd,1,1
1561617,29-Nov-19,Delaware,Lewes,300 block of E Savannah Rd,1,0
